¿Es de {0}?,¿Tiene pelo {0}?,¿{0} tiene bigote?,¿{0} tiene barba?, ¿{0} tiene gafas?,¿Tiene ojos {0}?,¿{0} tiene sombrero?,etiqueta
Francia,negro,si,no,no,marrones,no,Alex
Inglaterra,rubio,no,no,no,azules,no,Anita
Alemania,blanco,no,no,no,azules,no,Peter
Alemania,rubio,no,no,no,marrones,si,Eric
Irlanda,rubio,si,no,no,marrones,no,Charles
Francia,calvo,no,no,si,marrones,no,Sam
Francia,rubio,no,no,si,marrones,no,Joe
Inglaterra,marrones,no,no,no,marrones,si,Maria
Alemania,negro,no,si,no,marrones,no,Philip
Irlanda,calvo,si,si,no,marrones,no,Richard
Inglaterra,blanco,no,no,no,marrones,no,Susan
Francia,marrones,si,no,no,marrones,no,Max
Alemania,rubio,si,no,no,azules,no,Alfred
Irlanda,marrones,no,no,no,azules,no,Robert
Alemania,marrones,no,no,no,marrones,no,Frans
Inglaterra,marrones,no,no,si,marrones,si,Claire
Francia,blanco,no,no,si,marrones,no,Paul
Francia,calvo,no,si,no,marrones,no,Bill
Francia,rubio,no,si,no,marrones,no,David
Irlanda,marrones,no,no,no,marrones,si,Bernard
Irlanda,blanco,no,no,no,marrones,si,George
Irlanda,calvo,no,no,si,azules,no,Tom
Alemania,calvo,no,no,no,marrones,no,Herman
Inglaterra,negro,no,no,no,marrones,no,Anne
